Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX
Date,,,,,,,,,,,,,,,
2020-05-18,76.7253646850586,69.00884246826172,452.5799865722656,77.100516197736,69.38647134899308,456.3599853515625,75.59504818699047,67.46543379437955,443.3500061035156,76.28931972489806,67.83310426795741,451.1600036621094,135178400,47094000,7773500
2020-05-19,76.28199005126953,68.4717788696289,451.0400085449219,77.59257040448834,69.37300699697117,458.9700012207031,76.250320412407,68.43989676724456,450.4700012207031,76.7423967189678,69.02377862702917,453.3999938964844,101729600,31586000,4810500
2020-05-20,77.76553344726562,70.20350646972656,447.6700134277344,77.83617309644741,70.34648942602318,455.80999755859375,77.1053627330327,69.12043471161293,444.0,77.14434017785065,69.20711846144812,454.25,111504800,38262000,5607300
2020-05-21,77.18577575683594,70.08344268798828,436.25,78.1699360459229,70.56718559705264,448.9599914550781,76.94704163415062,69.46767107075028,430.25,77.62669752734837,70.29467493775918,448.55999755859375,102688800,30894000,9117300
2020-05-22,77.68273162841797,70.40676879882812,429.32000732421875,77.76555593478616,70.59408566129582,439.0899963378906,76.8203730686473,69.5453894587064,427.17999267578125,76.92268238596525,69.94145276179594,437.0,81803200,28544000,5422300
2020-05-26,77.15654754638672,70.81179809570312,414.7699890136719,78.98600497329699,71.99451473967798,428.5,77.10051605904029,70.71365837687964,413.1400146484375,78.80574074281053,71.83758241160733,427.7699890136719,125522000,44590000,7881100
2020-05-27,77.49271392822266,70.75749969482422,419.8900146484375,77.63887753036026,71.01008594637463,420.0199890136719,76.26982690652362,69.4781408664338,397.8599853515625,77.01282211981075,70.74355032318083,410.3800048828125,112945200,31684000,10446300
2020-05-28,77.52680206298828,70.65586853027344,413.44000244140625,78.79110463009378,71.96213022057283,422.3699951171875,76.88856217970095,69.70132864220743,411.5,77.16626626161167,69.74716011851211,417.239990234375,133560800,35170000,5655100
2020-05-29,77.45130920410156,71.41710662841797,419.7300109863281,78.23327447685958,71.57702647189404,420.29998779296875,77.09321170708697,70.54327547342558,411.8500061035156,77.7704292430654,70.76496784378698,417.4599914550781,153532400,37044000,5254900
2020-06-01,78.4037857055664,71.48436737060547,425.9200134277344,78.52558745206125,71.8186581836549,426.7200012207031,77.27346192968375,70.85713974161835,415.9800109863281,77.40500989747099,71.02752733192398,418.8299865722656,80791200,25162000,3743700
2020-06-02,78.7667465209961,71.85501861572266,427.30999755859375,78.79110835527389,71.88939412258804,427.5899963378906,77.6924543067813,70.82375340976124,419.4599914550781,78.13581441439783,71.49083741107874,425.8699951171875,87642800,23442000,3494800
2020-06-03,79.20037078857422,71.70257568359375,421.9700012207031,79.46346673855659,72.18881201214307,427.1000061035156,78.51340711651795,71.32245340395113,418.04998779296875,79.08831525723531,71.87445322824456,426.95001220703125,104491200,27732000,4316000
2020-06-04,78.5182876586914,70.45957946777344,414.3299865722656,79.32217629393165,71.80570529874512,428.7099914550781,78.14313615962425,70.04657922341435,410.0299987792969,79.02254872485325,71.5795202176529,422.3900146484375,87560400,26982000,5410500
